date,wpm,raw,accuracy,consistency,test_duration,notes
2026-01-01,62,71,94.2,72,60,Starting fresh this year
2026-01-02,65,74,93.8,71,60,
2026-01-03,63,72,95.1,74,60,
2026-01-05,67,76,94.5,73,60,Skipped yesterday
2026-01-06,64,73,96.0,75,60,
2026-01-07,68,78,95.2,76,60,Felt good today
2026-01-08,66,75,94.8,74,60,
2026-01-09,69,79,95.5,77,60,
2026-01-10,70,80,96.1,78,60,First 70 WPM!
2026-01-11,68,77,95.8,76,60,
2026-01-12,71,81,96.3,79,60,
2026-01-13,70,80,95.9,77,60,
2026-01-14,72,82,96.5,80,60,
2026-01-15,69,79,96.8,78,60,
2026-01-16,73,83,97.0,81,60,Good accuracy run
2026-01-17,71,81,96.2,79,60,
2026-01-18,74,85,96.7,82,60,
2026-01-19,72,82,97.1,80,60,
2026-01-20,75,86,97.3,83,60,
2026-01-21,73,83,96.9,81,60,
2026-01-22,74,85,97.0,82,60,
2026-01-23,76,87,97.2,83,60,
2026-01-24,74,84,97.4,82,60,
2026-01-25,77,88,97.1,84,60,
2026-01-26,75,86,97.5,83,60,
2026-01-27,78,89,97.3,85,60,
2026-01-28,76,87,97.6,84,60,
2026-01-29,79,90,97.4,85,60,Almost 80!
2026-01-30,77,88,97.7,84,60,
2026-01-31,80,91,97.5,86,60,First 80 WPM!
2026-02-01,78,89,97.8,85,60,
2026-02-02,81,92,97.6,87,60,
2026-02-03,79,90,97.9,86,60,
2026-02-04,82,93,97.7,87,60,
2026-02-05,80,91,98.0,86,60,First 98% accuracy
2026-02-06,83,94,97.8,88,60,
2026-02-07,81,92,98.1,87,60,
2026-02-08,82,93,97.9,88,60,
2026-02-09,84,95,98.0,89,60,
2026-02-10,82,93,98.2,88,60,
2026-02-11,85,96,97.9,89,60,
2026-02-12,83,94,98.1,88,60,
2026-02-13,84,95,98.3,89,60,
2026-02-14,82,93,98.4,88,60,Valentine's day session
2026-02-15,85,96,98.2,90,60,
2026-02-16,83,94,98.5,89,60,
2026-02-17,86,97,98.3,91,60,
2026-02-18,84,95,98.6,90,60,
2026-02-19,87,99,98.4,91,60,
2026-02-20,85,97,98.7,90,60,
2026-02-21,88,100,98.5,92,60,Raw 100!
2026-02-22,86,98,98.8,91,60,
2026-02-23,87,99,98.6,92,60,
2026-02-24,85,97,98.9,91,60,
2026-02-25,88,100,98.7,92,60,
2026-02-26,86,98,98.8,91,60,
2026-02-27,89,101,98.6,93,60,
2026-02-28,87,99,98.9,92,60,
2026-03-01,90,102,98.8,93,60,First 90 WPM milestone!
2026-03-02,88,100,99.0,92,60,
2026-03-03,91,103,98.9,94,60,
2026-03-04,89,101,99.1,93,60,
2026-03-05,92,105,98.8,94,60,
2026-03-06,90,102,99.0,93,60,
2026-03-07,91,104,99.2,95,60,
2026-03-08,89,101,99.1,94,60,
2026-03-09,93,106,99.0,95,60,
2026-03-10,91,103,99.3,94,60,
2026-03-11,92,105,99.1,95,60,
2026-03-12,90,103,99.2,94,60,
2026-03-13,94,107,99.0,96,60,
2026-03-14,92,105,99.3,95,60,
2026-03-15,93,106,99.1,96,60,
2026-03-16,91,104,99.4,95,60,
2026-03-17,94,107,99.2,96,60,
2026-03-18,92,105,99.3,95,60,
2026-03-19,95,108,99.1,97,60,
2026-03-20,93,106,99.4,96,60,
2026-03-21,94,107,99.2,97,60,
2026-03-22,92,105,99.5,96,60,
2026-03-23,96,109,99.3,97,60,
2026-03-24,94,107,99.4,97,60,
2026-03-25,95,108,99.2,98,60,
2026-03-26,93,106,99.5,97,60,
2026-03-27,96,109,99.3,98,60,
2026-03-28,94,107,99.6,97,60,
2026-03-29,97,110,99.4,98,60,
2026-03-30,95,108,99.5,98,60,
2026-03-31,96,109,99.3,99,60,
2026-04-01,94,107,99.6,98,60,
2026-04-02,97,110,99.4,99,60,
2026-04-03,95,108,99.7,98,60,
2026-04-04,98,111,99.5,99,60,Almost 100!
2026-04-05,96,109,99.6,99,60,
2026-04-06,97,110,99.4,98,60,
2026-04-07,95,108,99.7,99,60,
2026-04-08,98,111,99.5,99,60,
2026-04-09,96,109,99.6,99,60,
2026-04-10,99,112,99.7,99,60,
